technical_skill,communication,preferred_domain,education,career
linux,good,security,bsc,Cybersecurity Analyst
linux,average,infrastructure,diploma,Network Engineer
physics,good,engineering,mtech,Civil Engineer
excel,good,business,bsc,Data Analyst
agile,excellent,technology,mba,Product Manager
diagnosis,excellent,science,md,Doctor
writing,excellent,news,ma,Journalist
java,average,technology,btech,Backend Engineer
database,poor,technology,mca,Full Stack Developer
cad,excellent,infrastructure,btech,Civil Engineer
investigation,excellent,media,ma,Journalist
database,good,technology,btech,Data Engineer
biology,average,research,bsc,Biologist
construction,good,infrastructure,btech,Civil Engineer
html,good,creative,bfa,UI/UX Designer
diagnosis,good,science,md,Doctor
linux,good,infrastructure,mca,DevOps Engineer
agile,excellent,technology,btech,Product Manager
database,average,technology,mca,Full Stack Developer
python,average,technology,mtech,Software Developer
java,average,technology,mtech,Backend Engineer
networking,good,infrastructure,btech,DevOps Engineer
construction,good,infrastructure,btech,Civil Engineer
writing,poor,marketing,bba,Marketing Manager
math,good,technology,msc,AI/ML Engineer
sql,good,business,bba,Business Analyst
writing,excellent,media,bba,Content Writer
sql,good,analytics,phd,Data Scientist
illustrator,good,media,diploma,Graphic Designer
web,average,technology,diploma,Full Stack Developer
communication,excellent,hr,bba,HR Manager
management,good,analytics,bba,Business Analyst
python,good,technology,bsc,Software Developer
networking,excellent,technology,btech,Cybersecurity Analyst
chemistry,good,research,phd,Chemist
management,good,marketing,mba,Marketing Manager
networking,good,technology,bsc,Network Engineer
python,average,technology,btech,Full Stack Developer
lab,average,science,bsc,Biologist
illustrator,good,media,bdes,Graphic Designer
art,good,creative,bfa,Graphic Designer
excel,good,finance,bcom,Financial Analyst
networking,poor,infrastructure,btech,DevOps Engineer
security,good,technology,btech,DevOps Engineer
data,good,technology,mtech,Machine Learning Engineer
python,good,technology,mca,Data Engineer
r,excellent,analytics,msc,Data Scientist
data,good,business,bba,Data Analyst
research,good,science,mbbs,Biologist
writing,excellent,media,ma,Content Writer
strategy,excellent,technology,btech,Product Manager
python,good,technology,btech,Software Developer
python,good,technology,msc,Machine Learning Engineer
excel,good,business,btech,Data Analyst
writing,excellent,marketing,mba,Marketing Manager
chemistry,average,science,phd,Chemist
construction,good,infrastructure,btech,Civil Engineer
math,good,technology,btech,AI/ML Engineer
data,excellent,analytics,btech,Data Scientist
excel,good,business,bba,Financial Analyst
python,excellent,analytics,msc,AI/ML Engineer
css,excellent,technology,bsc,UI/UX Designer
research,average,research,phd,Chemist
sql,good,analytics,btech,Business Analyst
biology,good,science,bsc,Biologist
math,good,news,btech,Machine Learning Engineer
excel,good,business,mba,Financial Analyst
medicine,good,healthcare,md,Doctor
web,average,research,btech,Full Stack Developer
linux,good,technology,bsc,Network Engineer
excel,good,business,btech,Data Analyst
sql,good,technology,bsc,Backend Engineer
data,excellent,analytics,mtech,AI/ML Engineer
deep learning,good,technology,btech,AI/ML Engineer
design,good,creative,bsc,UI/UX Designer
physics,average,engineering,btech,Civil Engineer
web,average,technology,mtech,Software Developer
python,average,technology,bsc,Full Stack Developer
security,good,security,mtech,Cybersecurity Analyst
linux,good,infrastructure,mca,DevOps Engineer
lab,average,business,bsc,Biologist
sql,good,analytics,btech,Business Analyst
math,excellent,business,mcom,Financial Analyst
math,good,finance,bsc,Financial Analyst
accounting,good,business,mcom,Financial Analyst
python,average,technology,bsc,Full Stack Developer
medicine,excellent,healthcare,md,Doctor
chemistry,average,research,msc,Chemist
excel,excellent,finance,mba,Financial Analyst
construction,average,engineering,btech,Civil Engineer
math,good,business,btech,Data Analyst
diagnosis,excellent,healthcare,md,Doctor
physics,good,infrastructure,diploma,Civil Engineer
javascript,average,technology,btech,Software Developer
excel,good,analytics,bba,Business Analyst
writing,excellent,marketing,mba,Marketing Manager
management,average,business,mba,Product Manager
r,good,research,bsc,Data Scientist
security,good,infrastructure,btech,DevOps Engineer
python,good,technology,msc,Data Scientist
math,good,research,mtech,Data Scientist
python,good,technology,phd,Machine Learning Engineer
interviewing,good,business,btech,Business Analyst
biology,good,science,md,Doctor
mechanics,average,infrastructure,btech,Network Engineer
database,good,technology,mca,Full Stack Developer
c++,average,technology,bca,Software Developer
physics,average,manufacturing,ba,Mechanical Engineer
art,average,media,diploma,Graphic Designer
art,average,media,phd,Graphic Designer
c++,good,technology,bca,Software Developer
web,good,technology,mca,Full Stack Developer
interviewing,excellent,media,ba,Journalist
web,good,technology,btech,Software Developer
cad,good,infrastructure,btech,Civil Engineer
communication,good,hr,mba,HR Manager
lab,average,research,bsc,Chemist
finance,excellent,business,mba,Financial Analyst
physics,average,engineering,mtech,Mechanical Engineer
research,average,science,phd,Chemist
marketing,good,business,mba,Marketing Manager
biology,good,research,msc,Biologist
data,good,analytics,btech,Business Analyst
physics,average,manufacturing,btech,Mechanical Engineer
lab,good,science,mbbs,Biologist
database,good,technology,mca,Full Stack Developer
mechanics,good,manufacturing,diploma,Mechanical Engineer
r,good,technology,msc,Data Scientist
biology,excellent,science,btech,Doctor
sql,good,business,btech,Data Analyst
agile,excellent,business,btech,Product Manager
investigation,excellent,news,ma,Journalist
cad,excellent,engineering,mtech,Mechanical Engineer
networking,excellent,technology,mtech,Cybersecurity Analyst
seo,excellent,business,bba,Marketing Manager
writing,excellent,media,diploma,Journalist
chemistry,average,science,bsc,Chemist
management,good,marketing,mba,Marketing Manager
math,good,business,btech,Data Analyst
math,good,technology,bsc,Data Scientist
data,good,business,bsc,Data Analyst
python,good,technology,btech,DevOps Engineer
diagnosis,good,healthcare,btech,Doctor
html,good,technology,bdes,UI/UX Designer
biology,good,healthcare,md,Doctor
research,good,research,phd,Biologist
research,poor,research,mbbs,Biologist
illustrator,average,media,bdes,Graphic Designer
networking,excellent,technology,mtech,Cybersecurity Analyst
construction,average,engineering,diploma,Civil Engineer
physics,average,manufacturing,mtech,Mechanical Engineer
hardware,average,technology,btech,Network Engineer
writing,good,business,bba,Marketing Manager
data,good,technology,phd,Data Scientist
math,good,research,btech,Data Scientist
communication,excellent,hr,ba,HR Manager
networking,good,technology,bsc,Cybersecurity Analyst
r,good,security,bsc,Data Scientist
mechanics,good,manufacturing,mtech,Mechanical Engineer
database,good,technology,bsc,Full Stack Developer
css,excellent,technology,ba,UI/UX Designer
investigation,excellent,media,ba,Journalist
biology,good,research,mbbs,Biologist
finance,excellent,business,high_school,Financial Analyst
data,good,analytics,msc,Machine Learning Engineer
python,excellent,manufacturing,msc,Data Scientist
design,good,technology,bfa,UI/UX Designer
python,good,infrastructure,mca,DevOps Engineer
python,good,technology,btech,Full Stack Developer
data,excellent,business,mba,Business Analyst
linux,good,security,mtech,Cybersecurity Analyst
networking,good,technology,bsc,Network Engineer
design,good,technology,ba,UI/UX Designer
management,excellent,analytics,mba,Business Analyst
linux,good,technology,diploma,Network Engineer
management,excellent,hr,diploma,HR Manager
security,good,security,mtech,Cybersecurity Analyst
r,excellent,analytics,btech,Data Scientist
sql,good,technology,mtech,Data Scientist
data,good,technology,mca,Data Engineer
data,good,technology,btech,Machine Learning Engineer
c++,average,technology,mtech,Software Developer
physics,excellent,engineering,mtech,Civil Engineer
writing,good,finance,mba,Financial Analyst
cad,good,manufacturing,btech,Mechanical Engineer
research,average,research,mbbs,Biologist
writing,excellent,business,mba,Marketing Manager
python,good,research,bsc,Data Scientist
data,poor,analytics,mba,Business Analyst
seo,excellent,marketing,bba,Marketing Manager
research,good,science,phd,Chemist
research,good,technology,high_school,Chemist
data,good,technology,phd,Data Scientist
finance,good,business,mba,Financial Analyst
art,average,creative,diploma,Graphic Designer
writing,good,media,ma,Content Writer
python,good,technology,btech,DevOps Engineer
agile,excellent,business,bba,Product Manager
writing,excellent,marketing,bba,Content Writer
writing,good,marketing,mba,Marketing Manager
database,good,technology,mca,Data Engineer
writing,good,marketing,ba,Content Writer
art,average,media,bdes,Graphic Designer
linux,good,technology,diploma,Network Engineer
data,good,technology,btech,Data Engineer
math,excellent,analytics,btech,AI/ML Engineer
python,good,infrastructure,mca,DevOps Engineer
node,good,technology,btech,Backend Engineer
sql,excellent,business,mba,Financial Analyst
management,excellent,analytics,bba,Business Analyst
data,good,business,bba,Business Analyst
biology,good,healthcare,md,Doctor
management,good,analytics,mba,Business Analyst
excel,good,analytics,bba,Business Analyst
photoshop,average,media,diploma,Graphic Designer
illustrator,average,creative,bdes,Graphic Designer
math,good,analytics,mtech,Machine Learning Engineer
seo,good,business,bba,Marketing Manager
linux,excellent,technology,btech,Cybersecurity Analyst
math,good,technology,msc,AI/ML Engineer
management,excellent,business,bba,Product Manager
communication,average,hr,ba,HR Manager
security,average,infrastructure,diploma,Network Engineer
data,good,analytics,btech,Machine Learning Engineer
database,good,healthcare,bba,Data Analyst
security,average,infrastructure,diploma,Network Engineer
art,good,creative,bfa,Graphic Designer
node,excellent,creative,bdes,UI/UX Designer
math,good,analytics,btech,Data Analyst
research,average,research,phd,Chemist
writing,excellent,news,ma,Journalist
math,good,analytics,bca,Machine Learning Engineer
management,excellent,business,bba,Business Analyst
cad,good,engineering,mtech,Civil Engineer
sql,average,technology,mtech,Backend Engineer
python,excellent,analytics,mtech,AI/ML Engineer
physics,average,engineering,diploma,Civil Engineer
seo,excellent,media,ma,Content Writer
math,good,analytics,bba,Data Analyst
python,good,technology,btech,Software Developer
illustrator,good,media,bfa,Graphic Designer
python,excellent,analytics,msc,Machine Learning Engineer
medicine,good,science,mbbs,Doctor
writing,excellent,news,diploma,Journalist
excel,good,analytics,mba,Business Analyst
css,excellent,technology,ba,UI/UX Designer
networking,good,security,diploma,Cybersecurity Analyst
data,excellent,analytics,btech,Data Scientist
art,good,media,bfa,Graphic Designer
psychology,excellent,hr,bba,HR Manager
networking,average,infrastructure,btech,Network Engineer
mechanics,good,manufacturing,btech,Mechanical Engineer
medicine,excellent,science,mbbs,Doctor
research,average,research,phd,Chemist
sql,good,analytics,btech,Data Analyst
r,excellent,analytics,btech,Data Scientist
data,good,business,bba,Data Analyst
networking,good,infrastructure,btech,DevOps Engineer
math,good,analytics,msc,Data Scientist
management,excellent,business,bba,HR Manager
interviewing,poor,news,ma,Journalist
diagnosis,excellent,healthcare,md,Doctor
research,average,science,mbbs,Biologist
css,good,technology,bfa,UI/UX Designer
excel,good,business,btech,Data Analyst
math,good,technology,btech,Machine Learning Engineer
css,excellent,creative,ba,UI/UX Designer
web,good,technology,bsc,Software Developer
math,good,analytics,mtech,Machine Learning Engineer
communication,excellent,hr,mba,HR Manager
linux,excellent,technology,mtech,Cybersecurity Analyst
r,good,technology,msc,Data Scientist
biology,good,research,phd,Biologist
communication,excellent,hr,mba,HR Manager
writing,excellent,news,ba,Journalist
management,excellent,business,bba,Marketing Manager
linux,excellent,technology,btech,Cybersecurity Analyst
database,average,technology,mba,Backend Engineer
biology,good,science,md,Doctor
data,excellent,analytics,btech,Business Analyst
c++,good,technology,mtech,Software Developer
data,excellent,research,mtech,Data Scientist
accounting,good,business,mba,Financial Analyst
math,good,analytics,bsc,Data Analyst
math,excellent,technology,msc,Data Scientist
linux,good,infrastructure,mca,DevOps Engineer
excel,good,technology,btech,Data Analyst
hardware,good,infrastructure,diploma,Network Engineer
art,good,creative,bdes,Graphic Designer
photoshop,good,media,diploma,Graphic Designer
management,excellent,hr,ba,HR Manager
investigation,excellent,news,diploma,Journalist
java,average,technology,mtech,Software Developer
networking,excellent,security,mtech,Cybersecurity Analyst
psychology,excellent,hr,bba,HR Manager
research,average,research,mbbs,Biologist
database,good,technology,bsc,Backend Engineer
seo,excellent,marketing,mba,Marketing Manager
management,excellent,business,mba,Product Manager
cad,good,engineering,btech,Civil Engineer
physics,average,manufacturing,diploma,Mechanical Engineer
psychology,excellent,business,bca,HR Manager
management,excellent,hr,bba,HR Manager
security,good,security,bsc,Cybersecurity Analyst
construction,excellent,engineering,diploma,Civil Engineer
python,good,technology,bsc,Cybersecurity Analyst
linux,good,technology,bsc,Cybersecurity Analyst
physics,average,engineering,btech,Mechanical Engineer
physics,good,engineering,diploma,Civil Engineer
deep learning,excellent,analytics,btech,AI/ML Engineer
physics,average,engineering,btech,Civil Engineer
python,excellent,security,bsc,Cybersecurity Analyst
sql,good,analytics,bsc,Data Scientist
writing,good,marketing,ba,Content Writer
accounting,excellent,finance,bba,Financial Analyst
math,good,analytics,bba,Data Analyst
data,excellent,business,btech,Business Analyst
figma,excellent,technology,bfa,UI/UX Designer
marketing,average,infrastructure,mtech,Civil Engineer
management,excellent,business,btech,Product Manager
python,excellent,technology,mtech,AI/ML Engineer
illustrator,average,media,bdes,Graphic Designer
excel,good,finance,bba,Financial Analyst
management,good,business,bba,Marketing Manager
python,excellent,research,bsc,Data Scientist
data,good,technology,btech,Data Engineer
python,good,analytics,msc,AI/ML Engineer
networking,excellent,security,bsc,Cybersecurity Analyst
seo,excellent,marketing,bba,Marketing Manager
python,good,infrastructure,btech,DevOps Engineer
javascript,average,technology,mca,Full Stack Developer
construction,good,business,bcom,Financial Analyst
python,good,analytics,mtech,AI/ML Engineer
python,good,technology,mca,Data Engineer
database,good,technology,mca,Data Engineer
security,good,infrastructure,btech,DevOps Engineer
python,good,technology,msc,Machine Learning Engineer
python,good,technology,btech,Backend Engineer
communication,excellent,hr,ba,HR Manager
data,excellent,technology,btech,AI/ML Engineer
data,good,analytics,bba,Data Analyst
math,excellent,business,bba,Financial Analyst
database,good,analytics,mca,Data Engineer
photoshop,good,media,diploma,Graphic Designer
linux,average,research,phd,Chemist
mechanics,average,manufacturing,mtech,Mechanical Engineer
medicine,good,science,mbbs,Doctor
marketing,excellent,business,mtech,Marketing Manager
data,excellent,technology,btech,AI/ML Engineer
mechanics,average,engineering,btech,Mechanical Engineer
writing,good,marketing,mba,Marketing Manager
physics,good,infrastructure,btech,Civil Engineer
python,average,technology,bca,Software Developer
deep learning,good,analytics,btech,AI/ML Engineer
java,average,technology,mca,Backend Engineer
linux,good,technology,mtech,Cybersecurity Analyst
finance,excellent,finance,mcom,Financial Analyst
data,good,analytics,mtech,Machine Learning Engineer
security,good,research,phd,Biologist
data,excellent,analytics,msc,Machine Learning Engineer
physics,good,engineering,diploma,Civil Engineer
security,good,technology,btech,DevOps Engineer
research,average,research,msc,Chemist
cad,poor,engineering,diploma,Civil Engineer
data,excellent,analytics,bba,Business Analyst
finance,good,business,bcom,Financial Analyst
biology,excellent,healthcare,mbbs,Doctor
management,excellent,business,mba,HR Manager
agile,excellent,technology,bba,Product Manager
security,good,technology,mca,DevOps Engineer
data,excellent,analytics,btech,Business Analyst
linux,excellent,technology,bsc,Cybersecurity Analyst
finance,good,business,mba,Financial Analyst
python,good,technology,btech,DevOps Engineer
python,excellent,analytics,mtech,Machine Learning Engineer
security,average,technology,btech,Network Engineer
python,poor,technology,btech,Full Stack Developer
investigation,poor,news,ma,Journalist
math,good,business,bba,Data Analyst
web,average,technology,mtech,Software Developer
database,good,analytics,mca,Data Engineer
accounting,excellent,business,bba,Financial Analyst
java,good,technology,mtech,Software Developer
java,good,technology,bca,Software Developer
lab,poor,science,phd,Biologist
management,excellent,business,ba,HR Manager
python,good,technology,msc,AI/ML Engineer
database,good,analytics,btech,Data Engineer
security,good,security,mtech,Cybersecurity Analyst
marketing,excellent,marketing,bba,Marketing Manager
python,excellent,infrastructure,mca,DevOps Engineer
photoshop,good,media,diploma,Graphic Designer
python,good,technology,btech,Full Stack Developer
networking,good,technology,bsc,Full Stack Developer
management,excellent,hr,ba,HR Manager
security,excellent,technology,mtech,Cybersecurity Analyst
python,average,technology,btech,Full Stack Developer
communication,excellent,hr,mba,HR Manager
hardware,good,technology,ba,Network Engineer
linux,good,technology,btech,DevOps Engineer
python,good,technology,btech,Data Engineer
management,excellent,business,btech,Business Analyst
chemistry,good,science,phd,Chemist
networking,good,infrastructure,high_school,DevOps Engineer
java,average,technology,bsc,Backend Engineer
html,good,research,bfa,UI/UX Designer
chemistry,good,science,msc,Chemist
c++,good,technology,diploma,Network Engineer
python,average,technology,btech,Full Stack Developer
figma,good,creative,bsc,UI/UX Designer
design,excellent,technology,bdes,UI/UX Designer
photoshop,good,media,diploma,Graphic Designer
excel,good,business,btech,Data Analyst
interviewing,excellent,news,ba,Journalist
figma,excellent,creative,ba,UI/UX Designer
seo,excellent,business,mba,Marketing Manager
database,average,technology,btech,Full Stack Developer
writing,good,media,ba,Content Writer
excel,good,business,bba,Financial Analyst
cad,good,infrastructure,mtech,Civil Engineer
math,good,analytics,diploma,Data Analyst
accounting,excellent,finance,mba,Financial Analyst
data,good,analytics,mca,Data Engineer
investigation,excellent,news,mba,Journalist
python,excellent,analytics,msc,Machine Learning Engineer
security,excellent,technology,btech,Cybersecurity Analyst
art,good,creative,bfa,Graphic Designer
linux,good,technology,btech,Network Engineer
math,good,technology,btech,Machine Learning Engineer
cad,good,infrastructure,mtech,Civil Engineer
networking,good,technology,bsc,Network Engineer
python,good,technology,mca,Data Engineer
sql,good,analytics,bba,Data Analyst
lab,good,science,mbbs,Biologist
data,excellent,analytics,bba,Business Analyst
sql,average,technology,mca,Backend Engineer
lab,good,research,phd,Biologist
psychology,excellent,business,ba,HR Manager
research,average,science,msc,Biologist
management,excellent,business,bba,Business Analyst
cad,average,manufacturing,btech,Mechanical Engineer
python,excellent,business,mba,Financial Analyst
agile,excellent,business,bba,Product Manager
interviewing,excellent,news,ma,Journalist
sql,good,analytics,mca,Data Engineer
javascript,excellent,technology,btech,Full Stack Developer
python,good,technology,mca,Backend Engineer
data,good,business,bba,Business Analyst
javascript,average,technology,btech,Software Developer
investigation,excellent,news,ba,Journalist
psychology,excellent,business,bba,HR Manager
communication,excellent,business,ba,HR Manager
css,poor,creative,ba,UI/UX Designer
psychology,excellent,business,bba,HR Manager
lab,average,research,phd,Biologist
lab,good,science,msc,Chemist
java,good,technology,mtech,Software Developer
management,good,marketing,high_school,Marketing Manager
sql,good,analytics,mca,Data Engineer
cad,average,infrastructure,diploma,Civil Engineer
data,good,technology,msc,Machine Learning Engineer
psychology,excellent,hr,mba,HR Manager
security,good,infrastructure,mca,DevOps Engineer
physics,average,engineering,mtech,Civil Engineer
psychology,excellent,hr,bba,HR Manager
mechanics,good,engineering,btech,Mechanical Engineer
python,good,technology,mtech,Software Developer
writing,good,analytics,msc,Machine Learning Engineer
cad,average,engineering,diploma,Mechanical Engineer
cad,average,engineering,mtech,Mechanical Engineer
excel,excellent,business,mba,Business Analyst
cad,average,technology,mtech,Software Developer
security,average,infrastructure,diploma,Network Engineer
physics,good,manufacturing,ba,Mechanical Engineer
biology,good,research,phd,Biologist
database,average,technology,btech,Backend Engineer
c++,good,technology,bsc,Software Developer
css,good,creative,ba,UI/UX Designer
python,good,technology,btech,Cybersecurity Analyst
diagnosis,good,healthcare,md,Doctor
sql,good,analytics,btech,Data Engineer
strategy,excellent,media,btech,Product Manager
data,good,technology,msc,Machine Learning Engineer
investigation,excellent,media,diploma,Journalist
design,good,technology,bdes,UI/UX Designer
management,good,analytics,mba,Business Analyst
psychology,excellent,hr,mba,HR Manager
biology,good,science,phd,Biologist
psychology,excellent,business,bba,HR Manager
web,average,technology,mca,Full Stack Developer
lab,average,science,mbbs,Biologist
python,good,technology,btech,Machine Learning Engineer
art,average,creative,diploma,Graphic Designer
security,good,security,btech,Cybersecurity Analyst
math,good,business,bca,Data Analyst
data,good,business,mba,Business Analyst
art,good,media,bdes,Graphic Designer
strategy,excellent,business,bba,Product Manager
lab,average,research,phd,Biologist
